CPT,LOCALITY,YEAR,COUNTY,ASC_BASE_AMOUNT,ASC_120PCT
0275T,04,2022,MiamiDade,3900.96,4681.15
0707T,04,2022,MiamiDade,1719.17,2063.0
10060,04,2022,MiamiDade,78.94,94.73
10061,04,2022,MiamiDade,119.26,143.11
10120,04,2022,MiamiDade,104.81,125.77
10121,04,2022,MiamiDade,590.27,708.32
10140,04,2022,MiamiDade,110.19,132.23
10160,04,2022,MiamiDade,82.31,98.77
10180,04,2022,MiamiDade,989.19,1187.03
11000,04,2022,MiamiDade,36.28,43.54
11010,04,2022,MiamiDade,312.58,375.1
11011,04,2022,MiamiDade,312.58,375.1
11012,04,2022,MiamiDade,989.19,1187.03
11042,04,2022,MiamiDade,173.62,208.34
11043,04,2022,MiamiDade,263.07,315.68
11044,04,2022,MiamiDade,590.27,708.32
11102,04,2022,MiamiDade,77.94,93.53
11106,04,2022,MiamiDade,119.93,143.92
11307,04,2022,MiamiDade,90.2,108.24
11400,04,2022,MiamiDade,94.4,113.28
11401,04,2022,MiamiDade,108.17,129.8
11402,04,2022,MiamiDade,117.25,140.7
11403,04,2022,MiamiDade,127.65,153.18
11404,04,2022,MiamiDade,590.27,708.32
11406,04,2022,MiamiDade,590.27,708.32
11420,04,2022,MiamiDade,90.03,108.04
11421,04,2022,MiamiDade,105.15,126.18
11422,04,2022,MiamiDade,116.24,139.49
11423,04,2022,MiamiDade,126.65,151.98
11424,04,2022,MiamiDade,590.27,708.32
11426,04,2022,MiamiDade,989.19,1187.03
11621,04,2022,MiamiDade,151.17,181.4
11622,04,2022,MiamiDade,161.92,194.3
11623,04,2022,MiamiDade,177.72,213.26
11624,04,2022,MiamiDade,590.27,708.32
11750,04,2022,MiamiDade,102.79,123.35
11755,04,2022,MiamiDade,77.94,93.53
11760,04,2022,MiamiDade,127.65,153.18
11762,04,2022,MiamiDade,180.73,216.88
11960,04,2022,MiamiDade,1768.73,2122.48
12005,04,2022,MiamiDade,173.62,208.34
12006,04,2022,MiamiDade,173.62,208.34
12007,04,2022,MiamiDade,90.2,108.24
12020,04,2022,MiamiDade,263.07,315.68
12021,04,2022,MiamiDade,173.62,208.34
12031,04,2022,MiamiDade,173.62,208.34
12032,04,2022,MiamiDade,173.62,208.34
12034,04,2022,MiamiDade,173.62,208.34
12035,04,2022,MiamiDade,173.62,208.34
12036,04,2022,MiamiDade,263.07,315.68
12037,04,2022,MiamiDade,860.34,1032.41
12041,04,2022,MiamiDade,173.62,208.34
12042,04,2022,MiamiDade,173.62,208.34
12044,04,2022,MiamiDade,263.07,315.68
12055,04,2022,MiamiDade,173.62,208.34
13101,04,2022,MiamiDade,263.07,315.68
13120,04,2022,MiamiDade,263.07,315.68
13121,04,2022,MiamiDade,263.07,315.68
13131,04,2022,MiamiDade,173.62,208.34
13132,04,2022,MiamiDade,263.07,315.68
13160,04,2022,MiamiDade,860.34,1032.41
14000,04,2022,MiamiDade,860.34,1032.41
14001,04,2022,MiamiDade,860.34,1032.41
14020,04,2022,MiamiDade,860.34,1032.41
14021,04,2022,MiamiDade,860.34,1032.41
14040,04,2022,MiamiDade,860.34,1032.41
14041,04,2022,MiamiDade,860.34,1032.41
14301,04,2022,MiamiDade,1768.73,2122.48
14350,04,2022,MiamiDade,860.34,1032.41
15002,04,2022,MiamiDade,860.34,1032.41
15004,04,2022,MiamiDade,263.07,315.68
15050,04,2022,MiamiDade,263.07,315.68
15100,04,2022,MiamiDade,860.34,1032.41
15115,04,2022,MiamiDade,860.34,1032.41
15120,04,2022,MiamiDade,1768.73,2122.48
15200,04,2022,MiamiDade,860.34,1032.41
15220,04,2022,MiamiDade,860.34,1032.41
15240,04,2022,MiamiDade,860.34,1032.41
15271,04,2022,MiamiDade,860.34,1032.41
15275,04,2022,MiamiDade,860.34,1032.41
15277,04,2022,MiamiDade,860.34,1032.41
15574,04,2022,MiamiDade,860.34,1032.41
15600,04,2022,MiamiDade,1768.73,2122.48
15610,04,2022,MiamiDade,860.34,1032.41
15620,04,2022,MiamiDade,860.34,1032.41
15650,04,2022,MiamiDade,860.34,1032.41
15734,04,2022,MiamiDade,1768.73,2122.48
15736,04,2022,MiamiDade,860.34,1032.41
15738,04,2022,MiamiDade,1768.73,2122.48
15740,04,2022,MiamiDade,860.34,1032.41
15750,04,2022,MiamiDade,1768.73,2122.48
15769,04,2022,MiamiDade,1768.73,2122.48
15836,04,2022,MiamiDade,989.19,1187.03
15837,04,2022,MiamiDade,989.19,1187.03
15845,04,2022,MiamiDade,1768.73,2122.48
15851,04,2022,MiamiDade,75.58,90.7
16025,04,2022,MiamiDade,90.2,108.24
20103,04,2022,MiamiDade,312.58,375.1
20205,04,2022,MiamiDade,989.19,1187.03
20220,04,2022,MiamiDade,590.27,708.32
20225,04,2022,MiamiDade,590.27,708.32
20240,04,2022,MiamiDade,989.19,1187.03
20245,04,2022,MiamiDade,989.19,1187.03
20520,04,2022,MiamiDade,145.46,174.55
20525,04,2022,MiamiDade,989.19,1187.03
20526,04,2022,MiamiDade,44.34,53.21
20527,04,2022,MiamiDade,46.69,56.03
20550,04,2022,MiamiDade,28.56,34.27
20551,04,2022,MiamiDade,29.56,35.47
20552,04,2022,MiamiDade,28.22,33.86
20553,04,2022,MiamiDade,32.92,39.5
20600,04,2022,MiamiDade,27.55,33.06
20604,04,2022,MiamiDade,48.37,58.04
20605,04,2022,MiamiDade,28.56,34.27
20606,04,2022,MiamiDade,51.4,61.68
20610,04,2022,MiamiDade,33.93,40.72
20611,04,2022,MiamiDade,57.45,68.94
20612,04,2022,MiamiDade,36.96,44.35
20615,04,2022,MiamiDade,164.61,197.53
20650,04,2022,MiamiDade,1320.55,1584.66
20670,04,2022,MiamiDade,590.27,708.32
20680,04,2022,MiamiDade,989.19,1187.03
20690,04,2022,MiamiDade,4152.62,4983.14
20692,04,2022,MiamiDade,9038.32,10845.98
20693,04,2022,MiamiDade,2910.45,3492.54
20694,04,2022,MiamiDade,719.62,863.54
20696,04,2022,MiamiDade,10935.96,13123.15
20822,04,2022,MiamiDade,719.62,863.54
20900,04,2022,MiamiDade,3789.01,4546.81
20902,04,2022,MiamiDade,2910.45,3492.54
20910,04,2022,MiamiDade,263.07,315.68
20924,04,2022,MiamiDade,3833.78,4600.54
20950,04,2022,MiamiDade,312.58,375.1
