CPT,LOCALITY,YEAR,NON_FAC_LC,OCSF_STANDARD_FEE
G0168,03,2022,144.94,495.0
10060,03,2022,143.5,220.0
10061,03,2022,249.48,388.0
10120,03,2022,172.64,450.0
10121,03,2022,311.16,845.0
10140,03,2022,198.63,403.0
10160,03,2022,149.82,385.0
10180,03,2022,314.37,550.0
11000,03,2022,67.07,192.0
11010,03,2022,538.46,1100.0
11011,03,2022,595.69,1650.0
11012,03,2022,776.37,1760.0
11042,03,2022,150.32,550.0
11043,03,2022,275.1,668.0
11044,03,2022,368.75,2200.0
11045,03,2022,48.7,58.0
11046,03,2022,88.96,314.0
11047,03,2022,146.08,560.0
11055,03,2022,83.03,135.0
11102,03,2022,117.68,220.0
11106,03,2022,181.03,330.0
11300,03,2022,118.06,294.0
11301,03,2022,141.4,363.0
11305,03,2022,124.05,192.0
11306,03,2022,142.16,253.0
11307,03,2022,162.85,330.0
11308,03,2022,172.63,550.0
11400,03,2022,148.11,440.0
11401,03,2022,182.21,440.0
11402,03,2022,200.96,660.0
11403,03,2022,230.96,660.0
11404,03,2022,264.52,800.0
11406,03,2022,380.88,847.0
11420,03,2022,147.4,600.0
11421,03,2022,185.99,391.0
11422,03,2022,209.23,930.0
11423,03,2022,239.55,466.0
11424,03,2022,275.81,540.0
11426,03,2022,396.38,1540.0
11621,03,2022,266.52,1210.0
11622,03,2022,292.52,1320.0
11623,03,2022,345.21,1540.0
11624,03,2022,394.93,1670.0
11720,03,2022,37.62,82.0
11721,03,2022,50.48,126.0
11730,03,2022,132.69,300.0
11732,03,2022,39.13,46.0
11740,03,2022,65.62,66.0
11750,03,2022,183.98,935.0
11755,03,2022,142.09,275.0
11760,03,2022,219.5,1100.0
11762,03,2022,338.67,469.0
11765,03,2022,190.53,770.0
11900,03,2022,65.18,132.0
11981,03,2022,121.02,440.0
11982,03,2022,135.61,440.0
12001,03,2022,111.46,550.0
12002,03,2022,134.64,660.0
12004,03,2022,156.69,676.0
12005,03,2022,212.41,880.0
12006,03,2022,248.68,1045.0
12007,03,2022,280.72,1210.0
12020,03,2022,353.06,871.0
12021,03,2022,209.82,508.0
12031,03,2022,307.02,593.0
12032,03,2022,350.41,673.0
12034,03,2022,391.33,821.0
12035,03,2022,461.55,547.0
12036,03,2022,520.35,812.0
12037,03,2022,582.34,915.0
12041,03,2022,308.15,825.0
12042,03,2022,361.11,880.0
12044,03,2022,444.9,880.0
12055,03,2022,597.33,1320.0
13101,03,2022,463.21,1386.0
13120,03,2022,415.22,480.0
13121,03,2022,494.5,1210.0
13122,03,2022,149.5,402.0
13131,03,2022,452.12,1079.0
13132,03,2022,549.19,1650.0
13133,03,2022,196.5,407.0
14000,03,2022,747.4,1038.0
14001,03,2022,957.8,1416.0
14020,03,2022,816.68,1112.0
14021,03,2022,1008.31,1610.0
14040,03,2022,879.56,2052.0
